station_name,station_latitude,station_longitude,free_bikes,empty_slots,number_of_bikes,poi_name,poi_categories,poi_address,poi_distance,poi_latitude,poi_longitude,poi_ratings,poi_total_ratings,poi_total_tips,poi_total_photos
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,La Luna Restaurant Downtown,Lebanese Restaurant,"306 King St W (at Queen St), Hamilton ON L8P 1B1",689,43.259414,-79.878417,4.3,35.0,15.0,8.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,Ark + Anchor,Coffee Shop,"300 King St W, Hamilton ON L8P 1B1",668,43.259332,-79.878032,4.0,11.0,2.0,13.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",641,43.259153,-79.877446,3.9,13.0,2.0,7.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,The Mule,Taco Restaurant,"41 King William St (Hughson), Hamilton ON L8R 1A2",748,43.257258,-79.867202,4.4,54.0,14.0,83.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,Hess Village,Neighborhood,Hamilton ON,700,43.258514,-79.877755,4.0,18.0,3.0,9.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,Hutch's Harbour Front,Fish and Chips Shop,"325 Bay St N, Hamilton ON L8L 1M5",581,43.267592,-79.868115,3.5,20.0,5.0,10.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,Sagarmatha Curry Palace Resturant,Indian Restaurant,"43 King William St, Hamilton ON L8R 1A2",769,43.257213,-79.867056,4.2,22.0,22.0,122.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,Hambrgr,Burger Joint,"49 King William St, Hamilton ON L8R 1A2",778,43.257213,-79.867056,4.2,51.0,13.0,34.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,6,8,14,Scottish Rite,Arts and Entertainment,"4 Queen St S, Hamilton ON L8P 3R3",766,43.259057,-79.879423,4.0,8.0,2.0,19.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Whitehern Historic House and Garden,Museum,"41 Jackson St W, Hamilton ON L8P 1L3",281,43.254593,-79.87211,4.0,8.0,4.0,46.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Hess Village,Neighborhood,Hamilton ON,357,43.258514,-79.877755,4.0,18.0,3.0,9.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Coop Wicked Chicken Hamilton,Fried Chicken Joint,"274 King St W (Hess St), Hamilton ON L8P 1J6",415,43.259271,-79.877373,4.0,9.0,2.0,6.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",415,43.259153,-79.877446,3.9,13.0,2.0,7.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,La Luna Restaurant Downtown,Lebanese Restaurant,"306 King St W (at Queen St), Hamilton ON L8P 1B1",488,43.259414,-79.878417,4.3,35.0,15.0,8.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Ark + Anchor,Coffee Shop,"300 King St W, Hamilton ON L8P 1B1",465,43.259332,-79.878032,4.0,11.0,2.0,13.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Hamilton Farmers' Market,Farmers Market,"55 York Blvd (at James), Hamilton ON L8R 3K1",502,43.259041,-79.870193,4.3,90.0,14.0,80.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Smoke's Poutinerie,Fast Food Restaurant,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",421,43.258502,-79.878634,3.7,58.0,20.0,36.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,One Duke Restaurant & Lounge,American Restaurant,"1 Duke St (at James St. South), Hamilton ON L8P 1W9",525,43.251462,-79.872017,4.3,46.0,20.0,154.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Scottish Rite,Arts and Entertainment,"4 Queen St S, Hamilton ON L8P 3R3",513,43.259057,-79.879423,4.0,8.0,2.0,19.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,The Mule,Taco Restaurant,"41 King William St (Hughson), Hamilton ON L8R 1A2",585,43.257258,-79.867202,4.4,54.0,14.0,83.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,The Ship,Pub,"23 Augusta St (Hughson St.), Hamilton ON L8N 1P6",574,43.252066,-79.869987,4.2,101.0,37.0,88.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Sagarmatha Curry Palace Resturant,Indian Restaurant,"43 King William St, Hamilton ON L8R 1A2",597,43.257213,-79.867056,4.2,22.0,22.0,122.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Burrito Boyz,Burrito Restaurant,"66 King St E, Hamilton ON L8N 1A6",596,43.255691,-79.867215,4.2,64.0,16.0,20.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,The Pheasant Plucker,Pub,"20 Augusta St (James St.), Hamilton ON L8N 1P7",576,43.25192,-79.870426,4.0,71.0,15.0,23.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Hambrgr,Burger Joint,"49 King William St, Hamilton ON L8R 1A2",619,43.257213,-79.867056,4.2,51.0,13.0,34.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Durand Coffee,Café,"142 Charlton Ave W (Caroline St S.), Hamilton ON L8P 2C7",621,43.251543,-79.878939,4.0,8.0,4.0,19.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Merit Brewing,Bar,"107 James St N (at York Blvd), Hamilton ON L8R 2K6",650,43.25949,-79.867997,4.1,36.0,7.0,101.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,August 8,Dim Sum Restaurant,"1 Wilson St (James St.), Hamilton ON L8R 1C4",698,43.259413,-79.866825,4.2,82.0,26.0,27.0
City Hall,43.2561324863605,-79.8744987564414,5,12,17,Sapporo Japanese Restaurant,Sushi Restaurant,"96 Main St E, Hamilton ON L8N 1G3",690,43.254333,-79.865966,3.9,106.0,39.0,21.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,Whitehern Historic House and Garden,Museum,"41 Jackson St W, Hamilton ON L8P 1L3",274,43.254593,-79.87211,4.0,8.0,4.0,46.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,One Duke Restaurant & Lounge,American Restaurant,"1 Duke St (at James St. South), Hamilton ON L8P 1W9",363,43.251462,-79.872017,4.3,46.0,20.0,154.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,Durand Coffee,Café,"142 Charlton Ave W (Caroline St S.), Hamilton ON L8P 2C7",379,43.251543,-79.878939,4.0,8.0,4.0,19.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,The Ship,Pub,"23 Augusta St (Hughson St.), Hamilton ON L8N 1P6",473,43.252066,-79.869987,4.2,101.0,37.0,88.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,The Pheasant Plucker,Pub,"20 Augusta St (James St.), Hamilton ON L8N 1P7",464,43.25192,-79.870426,4.0,71.0,15.0,23.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,Red Crow Coffee,Café,"211 James St S (Charlton Ave), Hamilton ON L8P 3B2",504,43.250202,-79.871665,4.0,32.0,18.0,28.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,Wass Ethiopian Restaurant,Ethiopian Restaurant,"207 James St N (at Forest Ave.), Hamilton ON L8R 2L2",494,43.250254,-79.87172,3.9,16.0,5.0,10.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,Hess Village,Neighborhood,Hamilton ON,544,43.258514,-79.877755,4.0,18.0,3.0,9.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,Coop Wicked Chicken Hamilton,Fried Chicken Joint,"274 King St W (Hess St), Hamilton ON L8P 1J6",619,43.259271,-79.877373,4.0,9.0,2.0,6.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,La Luna Restaurant Downtown,Lebanese Restaurant,"306 King St W (at Queen St), Hamilton ON L8P 1B1",669,43.259414,-79.878417,4.3,35.0,15.0,8.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",617,43.259153,-79.877446,3.9,13.0,2.0,7.0
Bay at Bold,43.2538302267771,-79.8753935613187,8,3,11,Smoke's Poutinerie,Fast Food Restaurant,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",573,43.258502,-79.878634,3.7,58.0,20.0,36.0
